S.No,Ion,Molar Mass (g/mol),Concentration (Urine) (g/L),Concentration (100 mg N/kg) (g/L),Concentration (200 mg N/kg) (g/L),Charge (z?),Molar Concentration (100 mg N/kg) (mol/L),Molar Concentration (200 mg N/kg) (mol/L),Ionic Strength Contribution (100 mg N/kg),Ionic Strength Contribution (200 mg N/kg),Mineral NPK fertilizers,Ion2,Total in fertilzer ,Molar Mass (g/mol)3,Concentration (100 mg N/kg) (g/L)4,Concentration (200 mg N/kg) (g/L)5,Charge (z?)6,Molar Concentration (100 mg N/kg) (mol/L)7,Molar Concentration (200 mg N/kg) (mol/L)8,Ionic Strength Contribution (100 mg N/kg)9,Ionic Strength Contribution (200 mg N/kg)10
1,Nitrogen (NH??),18,17.5,0.456,0.912,1,0.025333333,0.050666667,0.012666667,0.025333333,,,,,,,,,,,
2,Sulphur (SO?²?),96,14.515,0.525,1.05,-2,0.00546875,0.0109375,0.0109375,0.021875,,Nitrogen (NH4),,18,0.456,0.92,1,0.025333333,0.051111111,0.012666667,0.025555556
3,Phosphorus (PO?³?),95,2.6175,0.091,0.182,-3,0.000957895,0.001915789,0.004310526,0.008621053,,Sulphur (SO?²?),,,,,,,,,
4,Potassium (K?),39,14.515,0.34817,0.69634,1,0.008927436,0.017854872,0.004463718,0.008927436,,,Sulphate of Ammonia ,,0.24,,,,,,
5,Calcium (Ca²?),40,12.5,1.7659,3.5318,2,0.0441475,0.088295,0.088295,0.17659,,,Sulphate of Phosphorus,,0.115,,,,,,
6,Magnesium (Mg²?),24,0.0625,0.0088,0.0176,2,0.000366667,0.000733333,0.000733333,0.001466667,,,Sulphate of Potash,,0.17,,,,,,
7,Sodium (Na?),23,16.7,2.3577,4.7154,1,0.102508696,0.205017391,0.051254348,0.102508696,,,,96,0.525,1.05,-2,0.00546875,0.0109375,0.0109375,0.021875
8,Copper (Cu²?),63.5,0.0025,0.0003534,0.0007068,2,5.57E-06,1.11E-05,1.11E-05,2.23E-05,,,,,,,,,,0,0
9,Zinc (Zn²?),65.4,0.0275,0.0038775,0.007755,2,5.93E-05,0.000118578,0.000118578,0.000237156,,Phosphorus (PO?³?),,95,0.091,0.182,-3,0.000957895,0.001915789,0.004310526,0.008621053
10,Manganese (Mn²?),54.9,0.125,0.125,0.25,2,0.002276867,0.004553734,0.004553734,0.009107468,,Potassium (K?),,39,0.34817,0.68,1,0.008927436,,,
11,Iron (Fe²?),55.8,0.5875,0.5875,1.175,2,0.010528674,0.021057348,0.021057348,0.042114695,,,,,,,,,,,
12,Iron (Fe³?),55.8,0.5875,0.5875,1.175,3,0.010528674,0.021057348,0.047379032,0.094758065,,,,,,,,,,,
13,Boron (B),10.8,0.185,0.185,0.37,0,0.01712963,0.034259259,0,0,,,,,,,,,,,
14,Molybdenum (Mo??),95.9,0.025,0.025,0.05,6,0.000260688,0.000521376,0.004692388,0.009384776,,,,,,,,,,,
15,Cobalt (Co²?),58.9,0.025,0.025,0.05,2,0.000424448,0.000848896,0.000848896,0.001697793,,,,,,,,,,,
16,Silicon (Si),28.1,35.63,0.03563,0.07126,0,0.001267972,0.002535943,0,0,,,,,,,,,,,
17,Aluminum (Al³?),27,0.002415,0.000002415,0.00000483,3,8.94E-08,1.79E-07,4.03E-07,0.000000805,,,,,,,,,,,
18,Vanadium (V??),50.9,0,0,0,5,0,0,0,0,,,,,,,,,,,
19,Chromium (Cr³?),52,0,0,0,3,0,0,0,0,,,,,,,,,,,
20,Nickel (Ni²?),58.7,0,0,0,2,0,0,0,0,,,,,,,,,,,
21,Lead (Pb²?),207.2,0,0,0,2,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total,0.251322602,0.502645203,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Total ,0.027914693,0.056051608
