ph,site,unit,Sample ID,treat,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
7,,,HK71,Orthophosphate,HK,o-Phos 1,7.873,mg P/L,0.292293,Tue Aug 22 17:31:50 2023,1,9.09
7,,,HK71,Orthophosphate,HK,o-Phos 1,12.764,mg P/L,0.470653,Tue Aug 22 19:13:04 2023,1,9.09
7,,,HK71,Orthophosphate,HK,o-Phos 1,5.936,mg P/L,0.221654,Tue Aug 22 17:56:52 2023,1,9.09
7,,,HK71,Orthophosphate,HK,o-Phos 1,13.168,mg P/L,0.238964,Fri Aug 25 13:27:46 2023,1,18.18
7,,,HK71,Orthophosphate,HK,o-Phos 1,6.083,mg P/L,0.20124,Fri Aug 25 13:06:17 2023,1,10
7,,,HK710,Orthophosphate,HK,o-Phos 1,13.373,mg P/L,0.492833,Tue Aug 22 19:10:21 2023,1,9.09
7,,,HK710,Orthophosphate,HK,o-Phos 1,16.827,mg P/L,0.618815,Tue Aug 22 19:14:25 2023,1,9.09
7,,,HK710,Orthophosphate,HK,o-Phos 1,17.81,mg P/L,0.654629,Tue Aug 22 19:34:14 2023,1,9.09
7,,,HK710,Orthophosphate,HK,o-Phos 1,20.205,mg P/L,0.216961,Fri Aug 25 14:37:26 2023,1,30.77
7,,,HK710,Orthophosphate,HK,o-Phos 1,22.536,mg P/L,0.241614,Fri Aug 25 14:38:19 2023,1,30.77
7,,,HU71,Urine,HU,o-Phos 1,6.68,mg P/L,0.248789,Tue Aug 22 17:34:29 2023,1,9.09
7,,,HU71,Urine,HU,o-Phos 1,4.894,mg P/L,0.183652,Tue Aug 22 17:47:50 2023,1,9.09
7,,,HU71,Urine,HU,o-Phos 1,9.317,mg P/L,0.344942,Tue Aug 22 19:17:08 2023,1,9.09
7,,,HU71,Urine,HU,o-Phos 1,6.861,mg P/L,0.226559,Fri Aug 25 13:05:24 2023,1,10
7,,,HU710,Urine,HU,o-Phos 1,10.511,mg P/L,0.388473,Tue Aug 22 19:11:42 2023,1,9.09
7,,,HU710,Urine,HU,o-Phos 1,6.728,mg P/L,0.250554,Tue Aug 22 17:50:26 2023,1,9.09
7,,,HU710,Urine,HU,o-Phos 1,11.011,mg P/L,0.406728,Tue Aug 22 19:15:47 2023,1,9.09
7,,,HU710,Urine,HU,o-Phos 1,11.288,mg P/L,0.205304,Fri Aug 25 13:26:00 2023,1,18.18
7,,,HU710,Urine,HU,o-Phos 1,6.913,mg P/L,0.228233,Fri Aug 25 12:58:06 2023,1,10
7,,,PK71,Orthophosphate,PK,o-Phos 1,0.449,mg P/L,0.154044,Tue Aug 22 17:35:51 2023,1,1
7,,,PK71,Orthophosphate,PK,o-Phos 1,0.705,mg P/L,0.238755,Tue Aug 22 17:49:08 2023,1,1
7,,,PK71,Orthophosphate,PK,o-Phos 1,0.123,mg P/L,0.045992,Tue Aug 22 17:54:18 2023,1,1
7,,,PK71,Orthophosphate,PK,o-Phos 1,0.138,mg P/L,0.051053,Tue Aug 22 17:58:09 2023,1,1
7,,,PK710,Orthophosphate,PK,o-Phos 1,0.169,mg P/L,0.061361,Tue Aug 22 17:37:13 2023,1,1
7,,,PK710,Orthophosphate,PK,o-Phos 1,0.623,mg P/L,0.211582,Tue Aug 22 17:39:54 2023,1,1
7,,,PK710,Orthophosphate,PK,o-Phos 1,0.301,mg P/L,0.105147,Tue Aug 22 18:26:43 2023,1,1
7,,,PU71,Urine,PU,o-Phos 1,0.104,mg P/L,0.039558,Tue Aug 22 17:55:35 2023,1,1
7,,,PU71,Urine,PU,o-Phos 1,0.088,mg P/L,0.03431,Tue Aug 22 17:59:27 2023,1,1
7,,,PU710,Urine,PU,o-Phos 1,0.226,mg P/L,0.080107,Tue Aug 22 17:38:35 2023,1,1
7,,,PU710,Urine,PU,o-Phos 1,0.225,mg P/L,0.079918,Tue Aug 22 18:03:24 2023,1,1
7,,,PU710,Urine,PU,o-Phos 1,0.254,mg P/L,0.089254,Tue Aug 22 18:04:41 2023,1,1
7,,,RK71,Orthophosphate,RK,o-Phos 1,2.971,mg P/L,0.332625,Tue Aug 22 19:18:30 2023,1,3.01
7,,,RK71,Orthophosphate,RK,o-Phos 1,2.039,mg P/L,0.229904,Tue Aug 22 19:19:51 2023,1,3.01
7,,,RK71,Orthophosphate,RK,o-Phos 1,2.014,mg P/L,0.22717,Tue Aug 22 19:21:13 2023,1,3.01
7,,,RK71,Orthophosphate,RK,o-Phos 1,2.086,mg P/L,0.071156,Fri Aug 25 13:01:51 2023,1,10
7,,,RK710,Orthophosphate,RK,o-Phos 1,9.175,mg P/L,0.339772,Tue Aug 22 20:02:08 2023,1,9.09
7,,,RK710,Orthophosphate,RK,o-Phos 1,9.16,mg P/L,0.339219,Tue Aug 22 20:03:01 2023,1,9.09
7,,,RK710,Orthophosphate,RK,o-Phos 1,8.922,mg P/L,0.330528,Tue Aug 22 20:03:54 2023,1,9.09
7,,,RK710,Orthophosphate,RK,o-Phos 1,9.064,mg P/L,0.298226,Fri Aug 25 13:04:31 2023,1,10
7,,,RU71,Urine,RU,o-Phos 1,2.156,mg P/L,0.242846,Tue Aug 22 19:29:17 2023,1,3.01
7,,,RU71,Urine,RU,o-Phos 1,2.218,mg P/L,0.249698,Tue Aug 22 19:30:38 2023,1,3.01
7,,,RU71,Urine,RU,o-Phos 1,1.221,mg P/L,0.13973,Tue Aug 22 19:31:59 2023,1,3.01
7,,,RU710,Urine,RU,o-Phos 1,3.919,mg P/L,0.148114,Tue Aug 22 20:04:48 2023,1,9.09
7,,,RU710,Urine,RU,o-Phos 1,4.7,mg P/L,0.176604,Tue Aug 22 20:05:41 2023,1,9.09
7,,,RU710,Urine,RU,o-Phos 1,3.83,mg P/L,0.144861,Tue Aug 22 20:06:34 2023,1,9.09
7,,,WK71,Orthophosphate,WK,o-Phos 1,0.113,mg P/L,0.042786,Tue Aug 22 18:24:08 2023,1,1
7,,,WK71,Orthophosphate,WK,o-Phos 1,0.12,mg P/L,0.044958,Tue Aug 22 18:25:25 2023,1,1
7,,,WK71,Orthophosphate,WK,o-Phos 1,0.12,mg P/L,0.044899,Tue Aug 22 18:28:01 2023,1,1
7,,,WK710,Orthophosphate,WK,o-Phos 1,1.489,mg P/L,0.169322,Tue Aug 22 19:36:09 2023,1,3.01
7,,,WK710,Orthophosphate,WK,o-Phos 1,1.052,mg P/L,0.121147,Tue Aug 22 19:39:43 2023,1,3.01
7,,,WK710,Orthophosphate,WK,o-Phos 1,1.448,mg P/L,0.164824,Tue Aug 22 19:40:36 2023,1,3.01
7,,,WU71,Urine,WU,o-Phos 1,0.029,mg P/L,0.014969,Tue Aug 22 18:37:11 2023,1,1
7,,,WU71,Urine,WU,o-Phos 1,0.037,mg P/L,0.017558,Tue Aug 22 18:38:32 2023,1,1
7,,,WU71,Urine,WU,o-Phos 1,0.052,mg P/L,0.022597,Tue Aug 22 18:40:47 2023,1,1
7,,,WU710,Urine,WU,o-Phos 1,0.072,mg P/L,0.029193,Tue Aug 22 18:39:51 2023,1,1
7,,,WU710,Urine,WU,o-Phos 1,0.14,mg P/L,0.051679,Tue Aug 22 18:41:49 2023,1,1
7,,,WU710,Urine,WU,o-Phos 1,0.038,mg P/L,0.01767,Tue Aug 22 18:42:42 2023,1,1
5,HIE Soil,,ak1,Orthophosphate,HK,o-Phos 1,5.47,mg P/L,0.204651,Tue Aug 22 15:23:58 2023,1,9.09
5,,,ak1,Orthophosphate,HK,o-Phos 1,5.35,mg P/L,0.200296,Tue Aug 22 15:28:03 2023,1,9.09
5,,,ak1,Orthophosphate,HK,o-Phos 1,5.637,mg P/L,0.210771,Tue Aug 22 15:32:05 2023,1,9.09
5,HIE Soil,,bk1,Orthophosphate,HK,o-Phos 1,12.459,mg P/L,0.459511,Tue Aug 22 15:30:45 2023,1,9.09
5,,,bk1,Orthophosphate,HK,o-Phos 1,13.256,mg P/L,0.224926,Tue Aug 22 16:31:17 2023,1,20
5,,,bk1,Orthophosphate,HK,o-Phos 1,13.269,mg P/L,0.225129,Tue Aug 22 16:32:11 2023,1,20
5,HIE Soil,,au1,Urine,HU,o-Phos 1,4.394,mg P/L,0.165412,Tue Aug 22 15:19:55 2023,1,9.09
5,,,au1,Urine,HU,o-Phos 1,4.169,mg P/L,0.157215,Tue Aug 22 15:21:16 2023,1,9.09
5,,,au1,Urine,HU,o-Phos 1,4.435,mg P/L,0.166913,Tue Aug 22 15:22:37 2023,1,9.09
5,HIE Soil,,bu10,Urine,HU,o-Phos 1,7.332,mg P/L,0.272569,Tue Aug 22 15:25:20 2023,1,9.09
5,,,bu10,Urine,HU,o-Phos 1,7.339,mg P/L,0.272833,Tue Aug 22 15:26:41 2023,1,9.09
5,,,bu10,Urine,HU,o-Phos 1,7.212,mg P/L,0.268193,Tue Aug 22 15:29:24 2023,1,9.09
5,Picton  Soil,,pk1,Orthophosphate,PK,o-Phos 1,0.054,mg P/L,0.023007,Tue Aug 22 12:54:33 2023,1,1
5,,,pk1,Orthophosphate,PK,o-Phos 1,0.046,mg P/L,0.020444,Tue Aug 22 12:55:51 2023,1,1
5,,,pk1,Orthophosphate,PK,o-Phos 1,1.04,mg P/L,0.119887,Tue Aug 22 14:38:37 2023,1,3.01
5,Picton  Soil,,pk10,Orthophosphate,PK,o-Phos 1,0.563,mg P/L,0.191818,Tue Aug 22 12:37:35 2023,1,1
5,,,pk10,Orthophosphate,PK,o-Phos 1,0.554,mg P/L,0.188752,Tue Aug 22 12:45:23 2023,1,1
5,,,pk10,Orthophosphate,PK,o-Phos 1,0.445,mg P/L,0.152623,Tue Aug 22 13:07:31 2023,1,1
5,Picton  Soil,,pu1 ,Urine,PU,o-Phos 1,0.03,mg P/L,0.015212,Tue Aug 22 12:34:59 2023,1,1
5,,,pu1 ,Urine,PU,o-Phos 1,0.027,mg P/L,0.014253,Tue Aug 22 12:36:17 2023,1,1
5,,,pu1 ,Urine,PU,o-Phos 1,0.026,mg P/L,0.013844,Tue Aug 22 12:41:29 2023,1,1
5,Picton  Soil,,PU10,Urine,PU,o-Phos 1,0.14,mg P/L,0.051471,Tue Aug 22 18:43:35 2023,1,1
5,,,PU10,Urine,PU,o-Phos 1,0.153,mg P/L,0.055884,Tue Aug 22 18:44:28 2023,1,1
5,,,PU10,Urine,PU,o-Phos 1,0.153,mg P/L,0.056012,Tue Aug 22 18:47:09 2023,1,1
5,Richmond  Soil,,RK1,Orthophosphate,RK,o-Phos 1,0.01,mg P/L,0.008409,Tue Aug 22 13:41:16 2023,1,1
5,Richmond  Soil,,RK1,Orthophosphate,RK,o-Phos 1,0.502,mg P/L,0.171714,Tue Aug 22 13:53:22 2023,1,1
5,Richmond  Soil,,RK1,Orthophosphate,RK,o-Phos 1,2.194,mg P/L,0.247015,Tue Aug 22 19:41:29 2023,1,3.01
5,Richmond  Soil,,RK10,Orthophosphate,RK,o-Phos 1,1.335,mg P/L,0.152357,Tue Aug 22 14:46:43 2023,1,3.01
5,Richmond  Soil,,RK10,Orthophosphate,RK,o-Phos 1,8.722,mg P/L,0.32325,Tue Aug 22 15:41:05 2023,1,9.09
5,Richmond  Soil,,RK10,Orthophosphate,RK,o-Phos 1,9.024,mg P/L,0.334262,Tue Aug 22 15:42:06 2023,1,9.09
5,Richmond  Soil,,RU1,Urine,RU,o-Phos 1,4.598,mg P/L,0.172862,Tue Aug 22 15:40:08 2023,1,9.09
5,Richmond  Soil,,RU1,Urine,RU,o-Phos 1,0.009,mg P/L,0.008192,Tue Aug 22 13:29:29 2023,1,1
5,Richmond  Soil,,RU1,Urine,RU,o-Phos 1,0.082,mg P/L,0.032442,Tue Aug 22 13:32:05 2023,1,1
5,Richmond  Soil,,RU10,Urine,RU,o-Phos 1,0,mg P/L,0.00535,Tue Aug 22 13:17:47 2023,1,1
5,Richmond  Soil,,RU10,Urine,RU,o-Phos 1,0.084,mg P/L,0.033155,Tue Aug 22 13:24:20 2023,1,1
5,Richmond  Soil,,RU10,Urine,RU,o-Phos 1,2.155,mg P/L,0.242683,Tue Aug 22 14:53:09 2023,1,3.01
5,,,WK1,Orthophosphate,WK,o-Phos 1,0.346,mg P/L,0.119813,Tue Aug 22 13:46:31 2023,1,1
5,,,WK1,Orthophosphate,WK,o-Phos 1,4.1,mg P/L,0.154707,Tue Aug 22 15:48:20 2023,1,9.09
5,,,WK1,Orthophosphate,WK,o-Phos 1,0.036,mg P/L,0.017097,Tue Aug 22 13:56:02 2023,1,1
